epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4273.02,1.78529,2.2944,1.76743,0.55363,0.55074,0.53474,0.25872,1.8208,1.69736,1.68933,0.00332581,0.00332581,0.00332581
2,11964.6,1.61792,1.5714,1.51048,0.65892,0.5777,0.60285,0.29733,1.84541,1.69349,1.70293,0.00659262,0.00659262,0.00659262
3,16628,1.6837,1.66574,1.5439,0.49779,0.46517,0.43355,0.20442,1.87974,2.00813,1.78234,0.00979283,0.00979283,0.00979283
4,21184.9,1.7327,1.81304,1.6074,0.58544,0.48831,0.51173,0.25175,1.89149,1.75545,1.75288,0.0097003,0.0097003,0.0097003
5,25986.6,1.70201,1.73321,1.5849,0.59821,0.53191,0.54095,0.27717,1.77674,1.7342,1.69829,0.0096004,0.0096004,0.0096004
6,31110.9,1.6848,1.65815,1.57555,0.62202,0.52672,0.55193,0.29028,1.79565,1.67544,1.70036,0.0095005,0.0095005,0.0095005
7,35762,1.65058,1.57561,1.53724,0.63311,0.56636,0.57901,0.30541,1.71763,1.55298,1.66354,0.0094006,0.0094006,0.0094006
8,40194.8,1.63174,1.5539,1.53284,0.69493,0.58241,0.62887,0.32679,1.76974,1.49906,1.67001,0.0093007,0.0093007,0.0093007
9,44559.2,1.60068,1.49871,1.51938,0.70059,0.58859,0.63771,0.32761,1.76937,1.42838,1.65526,0.0092008,0.0092008,0.0092008
10,48996.5,1.57727,1.45623,1.50547,0.67402,0.59211,0.62647,0.31095,1.80968,1.58299,1.71151,0.0091009,0.0091009,0.0091009
11,53389.5,1.58076,1.40711,1.48747,0.73273,0.58867,0.65613,0.3567,1.66188,1.37342,1.57875,0.009001,0.009001,0.009001
12,57896.8,1.55449,1.38874,1.47706,0.73578,0.63061,0.68539,0.36684,1.66766,1.3421,1.58231,0.0089011,0.0089011,0.0089011
13,62305.7,1.54301,1.35752,1.47665,0.74909,0.63703,0.68706,0.36913,1.68735,1.37179,1.58092,0.0088012,0.0088012,0.0088012
14,66747,1.52674,1.32379,1.45785,0.78489,0.63577,0.70311,0.39005,1.64204,1.24713,1.55578,0.0087013,0.0087013,0.0087013
